epifita_canon,n,pct_resp_hojas,pct_resp_raices
Anthurium salvinii,116,74.13793103448276,53.44827586206896
Billbergia nutans,14,71.42857142857143,28.57142857142857
Asplenium sp.,30,66.66666666666666,50
Aechmea fasciata,31,61.29032258064516,32.25806451612903
Neoregelia carolinae,11,54.54545454545454,27.27272727272727
Cattleya sp.,72,52.77777777777778,44.44444444444444
Guzmania sp.,21,47.61904761904761,28.57142857142857
Schomburgkia sp.,15,40,53.333333333333336
