parque,surv_12m,surv_24m,surv_60m,surv_84m,lower_12m,lower_24m,lower_60m,lower_84m,upper_12m,upper_24m,upper_60m,upper_84m
Parque El Triángulo y quebrada La Picacha,0.9353233830845771,0.778684191903808,0.7347262133285931,0.7347262133285931,0.9019319914230627,0.719197363663644,0.671232705383696,0.671232705383696,0.9699509932722061,0.8430913423154112,0.8042257241377939,0.8042257241377939
Parque de Conquistadores,0.9384615384615385,0.7766578249336871,0.7567435217302592,0.7567435217302592,0.8818212906246304,0.6759034877139842,0.6526500462859856,0.6526500462859856,0.9987398450628862,0.8924312242726216,0.8774392355283467,0.8774392355283467
Parque Lineal El Refugio,0.975609756097561,0.9242618741976892,0.9242618741976892,0.9242618741976892,0.9295167296009176,0.845378877925802,0.845378877925802,0.845378877925802,1,1,1,1
