"epifita","surv_12m","surv_24m","surv_60m","surv_84m","lower_12m","lower_24m","lower_60m","lower_84m","upper_12m","upper_24m","upper_60m","upper_84m"
"Aechmea fasciata",0.935483870967742,0.870967741935484,0.870967741935484,0.870967741935484,0.852880073318293,0.760603661016352,0.760603661016352,0.760603661016352,1,0.997345722052588,0.997345722052588,0.997345722052588
"Anthurium salvinii",0.896551724137931,0.853448275862069,0.853448275862069,0.853448275862069,0.842809626804713,0.791456924814164,0.791456924814164,0.791456924814164,0.953720708082213,0.920295137657633,0.920295137657633,0.920295137657633
"Asplenium sp.",0.833333333333333,0.8,0.8,0.8,0.710098244484635,0.668938624184942,0.668938624184942,0.668938624184942,0.977955444670122,0.95673949277454,0.95673949277454,0.95673949277454
"Billbergia nutans",0.928571428571429,0.928571428571429,0.928571428571429,0.928571428571429,0.803008348400444,0.803008348400444,0.803008348400444,0.803008348400444,1,1,1,1
"Cattleya sp.",0.861111111111111,0.861111111111111,0.861111111111111,0.861111111111111,0.784822949287273,0.784822949287273,0.784822949287273,0.784822949287273,0.94481480995479,0.94481480995479,0.94481480995479,0.94481480995479
"Guzmania sp.",0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,0.71981708391627,0.71981708391627,0.71981708391627,0.71981708391627,1,1,1,1
"Neoregelia carolinae",0.909090909090909,0.818181818181818,0.818181818181818,0.818181818181818,0.754133845081525,0.619248987399364,0.619248987399364,0.619248987399364,1,1,1,1
"Schomburgkia sp.",0.933333333333333,0.933333333333333,0.933333333333333,0.933333333333333,0.815264045653585,0.815264045653585,0.815264045653585,0.815264045653585,1,1,1,1
