epifita,surv_12m,surv_24m,surv_60m,surv_84m,lower_12m,lower_24m,lower_60m,lower_84m,upper_12m,upper_24m,upper_60m,upper_84m
Anthurium salvinii,0.9913793103448276,0.9528791429527955,0.9326051186346509,0.9326051186346509,0.9746979928419185,0.9133528268806166,0.8855258167228541,0.8855258167228541,1,0.9941160024384915,0.9821874087446966,0.9821874087446966
Cattleya sp.,0.9146537842190017,0.6974617485014462,0.6791074919619344,0.6791074919619344,0.8516066757775816,0.5885310149909428,0.5685554980417759,0.5685554980417759,0.9823684674879614,0.8265543841052807,0.8111556166939786,0.8111556166939786
Aechmea fasciata,0.935483870967742,0.9020737327188941,0.7844119414946905,0.7844119414946905,0.8528800733182932,0.8026830692354336,0.6443622654312893,0.6443622654312893,1,1,0.9549008794728712,0.9549008794728712
Asplenium sp.,0.8620689655172414,0.4990925589836661,0.4990925589836661,0.4990925589836661,0.745274646820763,0.3311680870883545,0.3311680870883545,0.3311680870883545,0.9971664868491036,0.7521660212579814,0.7521660212579814,0.7521660212579814
Guzmania sp.,0.9047619047619048,0.5587301587301586,0.5587301587301586,0.5587301587301586,0.787535047532568,0.3791731683421349,0.3791731683421349,0.3791731683421349,1,0.8233161424358568,0.8233161424358568,0.8233161424358568
Schomburgkia sp.,1,0.75,0.6000000000000001,0.6000000000000001,1,0.5027018412940469,0.33146462434329693,0.33146462434329693,1,1,1,1
Billbergia nutans,0.9285714285714286,0.7597402597402598,0.7597402597402598,0.7597402597402598,0.8030083484004437,0.5549021106915671,0.5549021106915671,0.5549021106915671,1,1,1,1
Neoregelia carolinae,0.8181818181818181,0.7272727272727272,0.6363636363636362,0.6363636363636362,0.6192489873993635,0.5064467648313096,0.4070975772303412,0.4070975772303412,1,1,0.994745978202713,0.994745978202713
