parque_norm,n,pct_resp_hojas,pct_resp_raices
Parque El Triángulo y quebrada La Picacha,202,62.87128712871287,44.554455445544555
Parque Lineal El Refugio,42,69.04761904761905,47.61904761904761
Parque de Conquistadores,66,59.09090909090909,45.45454545454545
