"epifita","surv_12m","surv_24m","surv_60m","surv_84m","lower_12m","lower_24m","lower_60m","lower_84m","upper_12m","upper_24m","upper_60m","upper_84m"
"epifita_canon=Anthurium salvinii",0.989247311827957,0.939784946236559,0.913312130849614,0.913312130849614,0.968506557386774,0.889888358237847,0.85377241746013,0.85377241746013,1,0.992479266637169,0.977003978224695,0.977003978224695
"epifita_canon=Cattleya sp.",0.895278450363196,0.608678045118723,0.584330923313974,0.584330923313974,0.819379105029181,0.480053062203979,0.454843059584806,0.454843059584806,0.978208376031484,0.771766689516764,0.750682286441043,0.750682286441043
"epifita_canon=Aechmea fasciata",0.909090909090909,0.861244019138756,0.676691729323308,0.676691729323308,0.79656151204517,0.727043480377736,0.490516789176853,0.490516789176853,1,1,0.933529099591069,0.933529099591069
"epifita_canon=Asplenium sp.",0.833333333333333,0.357142857142857,0.357142857142857,0.357142857142857,0.696811066859315,0.190065766971416,0.190065766971416,0.190065766971416,0.996603638306812,0.671088868030325,0.671088868030325,0.671088868030325
"epifita_canon=Guzmania sp.",0.875,0.4125,0.4125,0.4125,0.727071409585483,0.22540390188455,0.22540390188455,0.22540390188455,1,0.754894873502024,0.754894873502024,0.754894873502024
"epifita_canon=Schomburgkia sp.",1,0.714285714285714,0.535714285714286,0.535714285714286,1,0.447090947927774,0.256981336178048,0.256981336178048,1,1,1,1
"epifita_canon=Billbergia nutans",0.909090909090909,0.681818181818182,0.681818181818182,0.681818181818182,0.754133845081525,0.438427331431553,0.438427331431553,0.438427331431553,1,1,1,1
"epifita_canon=Neoregelia coralina",0.777777777777778,0.666666666666667,0.555555555555555,0.555555555555555,0.548521190012713,0.420028358578948,0.309705006872564,0.309705006872564,1,1,0.996567599682496,0.996567599682496
