ID,Coordenadas X,Coordenadas Y,Longitud corregida,Latitud corregida,Sitio,árbol ID,Codigo SAU,Especie árbol,CAP1,CAP2,CAP3,CAP4,Altura copa,Altura total,Foto Árbol 2023,ID epífita,Nombre común,Nombre común actualizado,Familia,Especie epífita,Ubicación en el árbol,Altura planta,Mortalidad 1 (12-04-2016),Desaparicion 1,12/04/16,Mortalidad 2 (12-05-2016),Desaparicion 2,12/05/16,Mortalidad 3 (16-06-2016),Desaparicion 3,42537,Mortalidad 4 (18-09-2016),Desaparicion 4,42631,Mortalidad (05-2017),Desaparicion (05-2017),42856,Mortalidad (06-2017),Desaparición (06-2017),42887,Mortalidad 7 (12-2017),Desaparición 7 (12-2017),43070,Mortalidad 8 (05/02/2018),Desaparición 8 (05/02/2018),43136,Mortalidad 9 (12/07/2018),Desaparición 9 (12/07/2018),43293,Mortalidad 10 (12/12/2018),Desaparición 10 (12/12/2018),43446,45108,nuevas hojas 1,nuevas hojas 2,nuevas hojas 3,nuevas hojas  4,Nuevas hojas (05-2017),Nuevas hojas (06-2017),Nuevas hojas (12-2017),Nuevas hojas (05/02/2018),Nuevas hojas (12/07/2018),Nuevas Hojas 112/12/2018,nuevas raices 1,nuevas raices 2,nuevas raices 3,nuevas raices 4,Nuevas raices (05-2017),Nuevas raíces (06-2017),Nuevas Raíces (12-2017),Nuevas Raíces (05/02/2018),Nuevas Raíces (12/07/2018),Nuevas Raices 12/12/2018,Estado fitosanitario 1,Estado Fitosanitario 2,Estado Fitosanitario 3,Estado Fitosanitario 4,Estado fitosanitario (05-2017),Estado fitosanitario (06-2017),Estado Fitosanitario (12-2017),Estado Fitosanitario (05/02/2018),Estado Fitosanitario (12/07/2018),Estado fitosanitario 12/12/2018,floracion 1,floracion 2,floracion 3,floracion 4,Floracion (05-2017),Floración (06-2017),Floración (12-2017),Floración (5/02/2018),Floración (12/07/2018),Floración 12/12/2018,fructificacion 1,fructificacion 2,fructificacion 3,fructificacion 4,Fructificacion (05-2017),Fructificación (06-2017),Fructificación (12-2017),Fructificación (05/02/2018),Fructificación (12/07/2018),Frutificación 12/12/2018,Observaciones 12/12/2018,Desaparecido/ muerto 2023,Estado fitosanitario 2023,Fenología 2023,Número de hojas/tallos/ clones 2023,Foto planta 2023,Observaciones 2023
222,-7.558.141,624.474,-75.58141,6.24474,Quebrada La Picacha,38,00111050002067,Caesalpinia pluviosa,98.9,90,64.2,67.8,5,8,8486,214,Aechmea,Aechmea,Bromeliaceae,Aechmea fasciata,fuste,5.3,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,,,0,,,0,,,0,,,0,,,0,1,0,0,0,0,-,,0,,,,0,0,0,0,-,,0,,,,Regular,Bueno,Regular,Bueno,-,,0,,,,0,0,0,0,-,,,,,,0,0,0,0,-,,0,,,,,Si,,,,,
223,-7.558.141,624.474,-75.58141,6.24474,Quebrada La Picacha,38,00111050002067,Caesalpinia pluviosa,98.9,90,64.2,67.8,5,8,8486,240,Aechmea,Guzmania,Bromeliaceae,Guzmania lingulata,rama externa,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,no,0,0,0,Regular,Malo,Bueno,Bueno,Malo,Bueno,Bueno,Bueno,Regular,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,,0,,No,Bueno,Infertil,6,,
224,-7.558.141,624.474,-75.58141,6.24474,Quebrada La Picacha,38,00111050002067,Caesalpinia pluviosa,98.9,90,64.2,67.8,5,8,8486,260,Guzmania,Guzmania,Bromeliaceae,Guzmania lingulata,rama interna,4.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,0,,,0,,,0,,,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,Bueno,Bueno,Bueno,Bueno,Muerto,Regular,0,,,,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,,,,,Si,,,,,
225,-7.558.141,624.474,-75.58141,6.24474,Quebrada La Picacha,38,00111050002067,Caesalpinia pluviosa,98.9,90,64.2,67.8,5,8,8486,329,Cattleya,Cattleya,Orchidaceae,Cattleya sp.,fuste,6.8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,,,0,,,0,,,0,,,0,1,0,0,0,0,0,NA,0,,,,0,0,0,0,0,NA,0,,,,Bueno,Bueno,Bueno,NA,Bueno,NA,0,,,,0,0,0,0,0,NA,,,,,0,0,0,0,0,NA,0,,,,,Si,,,,,
226,-7.558.141,624.474,-75.58141,6.24474,Quebrada La Picacha,38,00111050002067,Caesalpinia pluviosa,98.9,90,64.2,67.8,5,8,8486,344,Cattleya,Cattleya,Orchidaceae,Cattleya sp.,fuste,5.1,0,0,0,0,0,0,0,0,0,0,1,1,-,-,0,,,0,,,0,,,0,,,0,,,0,1,1,0,0,0,-,,0,,,,0,0,0,0,-,,0,,,,Bueno,Bueno,Bueno,NA,-,,0,,,,0,0,0,0,-,,,,,,0,0,0,0,-,,0,,,,,Si,,,,,
227,-755.815,624.466,-75.5815,6.24466,Quebrada La Picacha,39,00111050002065,Ficus benjamina,150.5,,,,6,12,8538,74,Salvini,Salvini,Araceae,Anthurium salvinii,fuste,3.7,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,,1,1,,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,-,,6,6,5,6,0,0,0,0,-,,si,0,si,Si,Bueno,Bueno,Bueno,Bueno,-,,Bueno,Bueno,Bueno,B,0,0,0,0,-,,,si,,0,0,0,0,0,-,,0,0,,0,,No,Bueno,Infertil,13,,
228,-755.815,624.466,-75.5815,6.24466,Quebrada La Picacha,39,00111050002065,Ficus benjamina,150.5,,,,6,12,8538,94,Salvini,Salvini,Araceae,Anthurium salvinii,fuste,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,1,1,,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,4,1,5,4,5,9,0,0,0,0,no,0,si,si,si,Si,Bueno,Bueno,Bueno,Bueno,Bueno,Bueno,Bueno,Bueno,Bueno,B,0,1,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,,0,,No,Bueno,Infertil,11,,
229,-755.815,624.466,-75.5815,6.24466,Quebrada La Picacha,39,00111050002065,Ficus benjamina,150.5,,,,6,12,8538,134,Salvini,Salvini,Araceae,Anthurium salvinii,fuste,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,1,1,,,0,1,0,0,0,0,4,1,5,6,,,0,0,0,0,no,0,si,si,,,Bueno,Bueno,Bueno,Bueno,Bueno,Bueno,Bueno,Bueno,,,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,0,0,,,,Si,,,,,
230,-755.815,624.466,-75.5815,6.24466,Quebrada La Picacha,39,00111050002065,Ficus benjamina,150.5,,,,6,12,8538,166,Helecho espada,Helecho espada,Aspleniaceae,Asplenium cf. nidus,rama interna,4.6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,,,0,,,0,,,0,1,0,1,1,0,4,1,0,,,,0,1,0,0,no,0,0,,,,Bueno,Bueno,Bueno,NA,Bueno,Bueno,0,,,,0,1,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,,Si,,,,,
231,-755.815,624.466,-75.5815,6.24466,Quebrada La Picacha,39,00111050002065,Ficus benjamina,150.5,,,,6,12,8538,381,Schomburgia,Schomburgia,Orchidaceae,Laelia tigrina,fuste,3.4,0,0,0,0,0,0,0,0,0,0,1,1,-,-,0,,,0,,,0,,,0,,,0,,,0,1,0,0,0,0,-,,0,,,,0,0,0,0,-,,0,,,,Regular,Bueno,Regular,NA,-,,0,,,,0,0,0,0,-,,,,,,0,0,0,0,-,,0,,,,,Si,,,,,
